File Name,Length (seconds),Time of Recording,Attire,Description
01.mp4,12,Day (Lights Off),Full Shirt & Pant,Wiping the face with a handkerchief while sitting on the bed; cleaning the goggles and putting them on.
02.mp4,10,Day (Lights Off),Full Shirt & Pant,Talking on the mobile phone while walking.
03.mp4,08,Day (Lights Off),Full Shirt & Pant,Reading a book while sitting on the bed.
04.mp4,13,Day (Lights Off),Full Shirt & Pant,Using a laptop while sitting on the bed.
05.mp4,07,Day (Lights Off),Full Shirt & Pant,Doing exercise (push-up); view 1.
06.mp4,06,Day (Lights Off),Full Shirt & Pant,Doing exercise (push-up); view 2.
07.mp4,04,Day (Lights Off),Full Shirt & Pant,Doing exercise (push-up); view 3.
08.mp4,12,Day (Lights Off),Full Shirt & Pant,Sleeping to sitting; putting on the goggles and drinking water.
09.mp4,12,Day (Lights Off),Full Shirt & Pant,Reading a book and checking the mobile phone while sitting on the bed.
10.mp4,12,Day (Lights Off),Full Shirt & Pant,Walking then sleeping on the bed after removing the goggles.
11.mp4,10,Day (Lights Off),Full Shirt & Pant,Copying content from a book into a notebook while sitting on the floor.
12.mp4,08,Day (Lights Off),Full Shirt & Pant,Stopping copying from a book and drinking water while sitting on the floor.
13.mp4,05,Day (Lights On),Full Shirt & Pant,Writing while sitting on the chair.
14.mp4,08,Day (Lights On),Full Shirt & Pant,Sitting in the chair to standing on the floor; then picking up the water bottle and drinking water from it.
15.mp4,05,Day (Lights On),Full Shirt & Pant,Sitting to sleeping on the bed.
16.mp4,07,Day (Lights On),Full Shirt & Pant,Sitting on the bed; removing the goggles; then sleeping.
17.mp4,06,Day (Lights On),Full Shirt & Pant,Picking up the book from the floor and putting it on the bed.
18.mp4,14,Day (Lights On),Full Shirt & Pant,Wiping the face with a handkerchief; putting on the goggles; then reading a book.
19.mp4,09,Day (Lights On),Full Shirt & Pant,Walking; then picking up the biscuit jar and eating biscuits from it after sitting on the bed.
20.mp4,17,Day (Lights On),Full Shirt & Pant,Eating biscuits then picking up the water bottle from the floor and drinking the water from it after sitting on the bed; keeping the bottle on the floor.
